Gene_ID,C11,C15,C19,C23,N11,N15,N19,N23
NM_020200,120,103,118,198,182,84,128,187
NM_020824,900,1226,1022,1340,908,787,846,821
NM_019590,3675,5360,5410,4512,4655,3689,3043,5999
NM_001282768,3675,5360,5410,4512,4655,3689,3043,5999
NM_001282767,3675,5360,5410,4512,4655,3689,3043,5999
NM_001282770,2126,3439,3257,2622,2522,2431,1953,3029
NM_001282769,2143,3462,3267,2639,2528,2442,1963,3034
NR_108067,1,12,8,7,20,6,4,5
NR_108068,1,12,8,7,20,6,4,5
NM_017433,15,16,19,16,24,18,20,51
NM_020752,72,176,51,613,228,96,37,97
NM_139312,2008,2169,2067,2371,1426,1709,1285,1341
NM_019043,115,150,234,306,91,78,234,77
NM_014263,2008,2169,2067,2371,1426,1709,1285,1341
NM_001253866,2008,2169,2067,2371,1426,1709,1285,1341
NM_014317,197,198,234,157,160,112,102,109
NM_018076,152,154,176,232,169,93,181,169
NM_173496,388,551,402,394,426,557,292,334
NM_021252,1386,1122,933,1411,854,1072,751,744
NM_001290020,151,152,176,231,169,93,178,167
NM_001256412,1386,1122,933,1411,854,1072,751,744
NM_001256411,1386,1122,933,1411,854,1072,751,744
NM_001256415,1386,1122,933,1411,854,1072,751,744
NM_001256410,1386,1122,933,1411,854,1072,751,744
NM_001290021,139,137,151,210,149,85,158,157
NR_046172,1386,1122,933,1411,854,1072,751,744
NM_100264,2845,2974,2618,3066,2601,2142,2011,2447
NM_100486,2822,2823,2508,2965,2356,1873,1849,2232
NM_016628,2822,2823,2508,2965,2356,1873,1849,2232
NM_003174,4414,5190,5285,5971,12283,5625,8001,12608
NM_021738,4247,4966,5028,5694,12016,5495,7822,12348
NM_020848,572,1082,654,1167,1705,743,928,1509
NM_001143770,277,323,284,516,295,113,179,291
NM_001143768,277,323,284,516,295,113,179,291
NM_001143771,277,323,284,516,295,113,179,291
NM_001143769,261,305,267,483,281,107,176,267
NM_182755,277,323,284,516,295,113,179,291
NR_026560,277,323,284,516,295,113,179,291
NM_001143767,277,323,284,516,295,113,179,291
NM_001143766,277,323,284,516,295,113,179,291
NM_001270698,1540,1176,1026,858,732,578,443,443
NM_001270695,1540,1176,1026,858,732,578,443,443
NM_001270699,1520,1142,995,835,711,561,428,429
NM_001270697,1540,1176,1026,858,732,578,443,443
NM_001282391,1076,1257,1317,1409,1010,784,838,1099
NM_018287,1540,1176,1026,858,732,578,443,443
NM_001270696,1540,1176,1026,858,732,578,443,443
NM_003873,988,1520,1537,3167,1180,756,1313,1249
NM_001024629,350,694,606,960,482,335,532,504
NR_045259,988,1520,1537,3167,1180,756,1313,1249
NM_001024628,350,694,606,960,482,335,532,504
NM_024688,102,86,93,180,64,38,49,87
NM_001244973,988,1520,1537,3167,1180,756,1313,1249
NM_001244972,988,1520,1537,3167,1180,756,1313,1249
NM_001267563,340,422,688,352,321,247,473,368
NM_001267562,340,422,688,352,321,247,473,368
NM_001282852,1342,1832,1978,1721,1666,1330,1277,1376
NM_001282854,1342,1832,1978,1721,1666,1330,1277,1376
NM_001282853,1342,1832,1978,1721,1666,1330,1277,1376
NM_001881,106,146,186,152,162,117,143,132
NM_181698,1647,2218,2337,2101,1972,1610,1537,1672
NM_183013,340,422,688,352,321,247,473,368
NM_145012,1342,1832,1978,1721,1666,1330,1277,1376
NR_051975,340,422,688,352,321,247,473,368
NR_051974,340,422,688,352,321,247,473,368
NR_051973,340,422,688,352,321,247,473,368
NR_110138,65,60,53,63,9,0,8,2
NM_052997,9,2,8,29,4,2,4,9
NM_001278170,1723,1495,1680,1504,898,807,713,747
NM_006954,1723,1495,1680,1504,898,807,713,747
NM_001278179,1723,1495,1680,1504,898,807,713,747
NM_001278178,1723,1495,1680,1504,898,807,713,747
NM_001278177,1723,1495,1680,1504,898,807,713,747
NM_001278176,1723,1495,1680,1504,898,807,713,747
NM_001278175,1723,1495,1680,1504,898,807,713,747
NM_001278174,1723,1495,1680,1504,898,807,713,747
NM_001278173,1723,1495,1680,1504,898,807,713,747
NM_001278171,1723,1495,1680,1504,898,807,713,747
NM_006974,1723,1495,1680,1504,898,807,713,747
NM_001305040,1169,733,1054,687,508,499,432,387
NM_001305039,1169,733,1054,687,508,499,432,387
NM_001305038,1169,733,1054,687,508,499,432,387
NM_001305037,1169,733,1054,687,508,499,432,387
NM_001305036,1169,733,1054,687,508,499,432,387
NM_001305035,1169,733,1054,687,508,499,432,387
NM_001305033,1169,733,1054,687,508,499,432,387
NR_024380,16,26,17,24,8,17,16,28
NM_006955,1169,733,1054,687,508,499,432,387
NR_103829,4,10,12,11,10,8,7,9
NR_130951,1319,859,1202,810,640,630,519,446
NR_130950,1264,806,1124,768,580,575,477,422
NR_130949,1264,806,1124,768,580,575,477,422
NR_130948,1264,806,1124,768,580,575,477,422
NM_145313,68,71,120,143,155,63,153,119
NR_047558,159,182,253,204,161,139,178,181
NM_020630,125,479,343,282,107,1278,484,40
NM_006973,836,844,1103,1315,783,609,663,755
NR_038867,852,865,1153,1342,817,624,676,801
NM_020975,224,663,475,408,139,1505,628,53
NM_001005368,835,830,1093,1306,762,597,648,744
NR_033842,150,205,224,212,157,72,109,128
NM_001169107,1798,1898,2888,2119,1273,852,1212,985
NM_001282866,1022,1481,1426,1386,1318,1039,1068,1197
NR_029388,352,402,403,448,252,314,211,213
NM_001145262,5259,4248,5026,5148,2971,3005,2622,3309
NM_001145261,5299,4308,5085,5226,3079,3130,2680,3420
NM_001145260,5299,4308,5085,5226,3079,3130,2680,3420
NM_001145263,5299,4308,5085,5226,3079,3130,2680,3420
NM_005437,5263,4260,5034,5165,2982,3013,2630,3313
NM_145021,1067,1574,1507,1465,1430,1147,1149,1286
NM_001169106,1798,1898,2888,2119,1273,852,1212,985
NM_001002266,1022,1481,1426,1386,1318,1039,1068,1197
NM_015262,1798,1898,2888,2119,1273,852,1212,985
NR_003611,234,287,367,215,138,200,167,104
NM_015605,265,74,84,19,68,26,32,20
NR_033957,379,619,460,472,355,330,217,195
NM_001042365,265,74,84,19,68,26,32,20
NM_001042364,265,74,84,19,68,26,32,20
NM_001042362,265,74,84,19,66,26,28,20
NM_001042361,265,74,84,19,66,26,28,20
NM_001042359,265,74,84,19,66,26,28,20
NM_001042358,265,74,84,19,66,26,28,20
NM_001042360,265,74,84,19,66,26,28,20
NR_103828,94,222,171,124,117,134,103,111
NR_103827,94,222,171,124,117,134,103,111
NM_001042363,265,74,84,19,68,26,32,20
NR_027634,587,376,391,440,336,309,270,276
NM_020945,192,380,473,540,213,150,607,281
NM_001256025,80,173,212,243,351,186,232,348
NM_001256024,76,167,200,235,349,177,225,336
NM_021226,76,167,200,235,349,177,225,336
NM_001031746,512,569,760,1884,1544,726,1057,1256
NR_045675,82,175,215,254,359,194,240,354
NM_001278547,949,841,1039,988,618,534,486,579
NM_001291398,2478,2329,3739,2124,1482,924,1359,1004
NM_001143974,47,34,45,50,21,37,27,22
NM_001005751,2478,2329,3739,2124,1482,924,1359,1004
NM_001303489,561,533,590,653,398,360,294,325
NM_001303487,562,533,590,653,398,360,294,325
NM_001303486,562,533,590,653,398,360,294,325
NM_003631,562,533,590,653,398,360,294,325
NM_019893,47,34,45,50,21,37,27,22
NR_130168,561,533,590,653,398,360,294,325
NR_130169,562,533,590,653,398,360,294,325
NM_001198820,6,0,3,33,5,12,3,5
NM_001198819,6,0,3,33,5,12,3,5
NM_001198818,6,0,3,33,5,12,3,5
NM_138933,6,0,3,33,5,12,3,5
NM_138932,6,0,3,33,5,12,3,5
NM_014576,6,0,3,33,5,12,3,5
NR_038277,47,28,19,50,80,8,35,70
NM_007057,83,55,150,126,73,58,74,47
NM_001005413,83,55,150,126,73,58,74,47
NM_032997,83,55,150,126,73,58,74,47
NM_152230,348,279,305,239,66,50,85,60
NM_001143774,345,290,173,202,113,157,103,174
NM_032439,346,294,173,203,129,174,118,206
NM_001204404,2269,2510,2311,2800,851,1153,924,683
NM_001149,1970,1743,1757,2387,631,664,626,473
NM_020987,2184,2356,2244,2719,813,1115,891,639
NM_001204403,2365,2639,2450,2911,921,1243,972,737
NM_005436,2333,2866,2616,2659,1686,1390,1199,1528
NR_024555,293,244,395,480,373,187,302,290
NR_024554,293,244,395,479,371,186,302,290
NM_173554,50,79,60,75,67,65,46,65
NR_120643,39,37,19,60,54,39,34,69
NM_001282941,15,17,18,12,3,11,15,8
NM_145307,71,62,73,57,27,47,57,23
NM_014951,34,105,88,83,67,48,78,113
NM_199451,46,149,120,118,81,83,89,137
NM_199450,35,111,93,87,69,54,78,113
NM_032199,2450,3398,2568,3035,1937,2226,1639,1598
NM_199452,9,32,21,23,10,19,7,12
NM_032776,1799,1413,1676,1663,898,770,733,803
NM_001282948,1590,1128,1363,1311,676,520,574,588
NM_001001330,953,979,834,1147,592,811,500,513
NR_120647,190,59,129,69,163,55,82,86
NM_178011,8,1,15,16,33,10,11,33
NR_111911,4,2,12,7,23,0,11,21
NM_001278186,971,962,1126,1076,648,562,597,563
NM_001278185,971,962,1126,1076,648,562,597,563
NM_001142498,603,409,565,566,307,211,276,288
NM_015601,971,962,1126,1076,648,562,597,563
NM_012238,610,444,590,589,351,252,293,323
NM_022079,971,962,1126,1076,648,562,597,563
NM_001291133,34,43,62,54,30,26,23,46
NM_024045,444,379,493,514,444,299,383,431
NR_102264,152,113,164,245,127,136,59,162
NM_001080449,152,111,164,245,127,135,59,161
NM_001033083,224,374,333,359,279,247,254,234
NM_030625,194,250,329,302,195,185,185,179
NM_022129,357,524,464,496,360,336,343,304
NM_000188,2953,5438,5241,5038,5449,6928,4893,6285
NM_012339,909,1542,1719,2154,3502,1712,1821,2938
NM_001198696,182,443,485,515,607,542,496,730
NM_080801,141,201,285,296,337,273,359,438
NM_080800,141,201,285,296,337,273,359,438
NM_001130103,141,201,285,296,337,273,359,438
NM_033500,2978,5466,5286,5079,5485,6976,4918,6300
NM_080805,141,201,285,296,337,273,359,438
NM_080802,141,201,285,296,337,273,359,438
NM_033496,2965,5457,5259,5054,5461,6958,4908,6288
NM_033498,2978,5466,5286,5079,5485,6976,4918,6300
NM_033497,2978,5466,5286,5079,5485,6976,4918,6300
NM_080798,141,201,285,296,337,273,359,438
NM_032797,182,443,485,515,607,542,496,730
NM_152710,13,8,13,18,16,6,9,2
NM_014431,228,615,445,1154,552,617,609,535
NM_173473,2116,2734,2514,2417,1952,2204,1777,1997
NM_052836,17,29,35,46,56,50,32,61
NM_022124,511,1075,1124,1374,1687,1256,1712,1699
NM_002778,18174,43357,30463,32261,29334,42222,26734,34009
NM_001171930,48,80,91,127,154,127,108,158
NM_001242548,2116,2734,2514,2417,1952,2204,1777,1997
NM_001242547,2116,2734,2514,2417,1952,2204,1777,1997
NM_001242546,2116,2734,2514,2417,1952,2204,1777,1997
NM_001171932,11,18,23,28,51,43,20,43
NM_001171931,39,46,57,87,107,94,57,106
NM_001042466,18174,43357,30463,32261,29334,42222,26734,34009
NM_001042465,18174,43357,30463,32261,29334,42222,26734,34009
NR_038392,2116,2734,2514,2417,1952,2204,1777,1997
NR_038391,2116,2734,2514,2417,1952,2204,1777,1997
NM_001270680,297,443,396,384,285,188,210,310
NM_007265,459,602,547,453,317,271,314,319
NM_145170,560,591,746,437,381,344,265,398
NM_001195519,698,979,969,986,795,764,545,776
NM_001195518,875,1195,1177,1214,944,896,667,928
NR_024203,459,602,547,453,317,271,314,319
NM_006077,875,1195,1177,1214,944,896,667,928
NM_001270679,297,448,400,387,289,192,218,312
NM_001135753,459,602,547,453,317,271,314,319
NM_001135752,459,602,547,453,317,271,314,319
NM_138357,297,448,400,387,289,192,218,312
NR_038373,1430,1555,1840,1392,1186,1228,895,1113
NR_073062,297,448,400,387,289,192,218,312
NM_001242488,2182,5801,4871,4290,6671,6734,5160,7699
NM_014000,4380,4979,5690,5907,11919,4910,8530,10681
NM_015037,2182,5801,4871,4290,6671,6734,5160,7699
NM_001242487,2182,5801,4871,4290,6671,6734,5160,7699
NM_003373,4380,4979,5690,5907,11919,4910,8530,10681
NM_152586,2850,3214,3391,2112,1986,3736,2216,1595
NM_144589,47,159,161,94,259,181,173,215
NM_012330,1106,1381,1301,1273,1197,1174,1091,1153
NM_001256469,1106,1381,1301,1273,1197,1174,1091,1153
NR_120651,601,978,1203,808,1953,1330,1445,2286
NM_001256468,1106,1381,1301,1273,1197,1174,1091,1153
NM_001007273,0,2,1,0,5,4,1,2
NM_001007272,0,2,1,0,5,4,1,2
NM_001007271,0,2,1,0,5,4,1,2
NR_120655,305,378,486,728,1229,476,911,1320
NM_004747,2745,7316,5377,4447,5233,8965,5050,5751
NM_007055,708,1321,1197,1194,825,1031,750,834
NR_038985,0,3,2,0,6,0,0,9
NM_153367,1266,2693,2080,2624,2925,2175,2695,3067
NM_020338,2387,5439,4465,8076,6638,5135,4558,7546
NR_015429,339,661,635,586,491,387,421,438
NR_024431,339,661,635,586,491,387,421,438
NR_024429,339,661,635,586,491,387,421,438
NM_001270374,1227,1613,1378,1526,951,1844,946,885
NM_138812,5,3,8,1,4,2,4,0
NM_001269053,5,3,8,1,4,2,4,0
NM_001270042,9,7,10,2,3,2,4,8
NM_001128309,2422,3713,3491,3648,3135,2743,2074,2530
NM_001145719,17,22,27,14,22,22,19,29
NM_207372,25,24,29,16,24,24,21,31
NM_001270373,1273,1701,1434,1604,1016,1997,1013,959
NM_001270372,1273,1701,1434,1604,1016,1997,1013,959
NM_001270369,1256,1671,1411,1568,972,1898,977,915
NM_001270368,1256,1671,1411,1568,972,1898,977,915
NM_001270367,1256,1671,1411,1568,972,1898,977,915
NM_030927,2422,3713,3491,3648,3135,2743,2074,2530
NM_025125,1273,1701,1434,1604,1016,1997,1013,959
NM_001270371,1273,1701,1434,1604,1016,1997,1013,959
NM_001270370,1273,1701,1434,1604,1016,1997,1013,959
NR_120612,109,94,126,91,88,89,67,70
NR_120611,303,220,279,251,255,176,143,139
NR_070309,9,7,10,2,3,2,4,8
NR_070308,9,7,10,2,3,2,4,8
NR_038464,17,30,20,38,57,12,34,55
NR_072987,1227,1613,1378,1526,951,1844,946,885
NR_072985,1227,1613,1378,1526,951,1844,946,885
NR_072984,1227,1613,1378,1526,951,1844,946,885
NR_072986,1227,1613,1378,1526,951,1844,946,885
NM_014394,2065,2024,2131,2162,1970,1800,1493,1943
NM_001284240,836,669,816,910,637,504,541,719
NM_018999,836,669,816,910,637,504,541,719
NR_120671,3,0,2,2,3,0,0,9
NR_120668,0,0,0,0,0,0,0,0
NR_120667,0,0,0,0,0,0,0,0
NR_038986,11,13,12,25,55,27,21,66
NM_004329,581,548,614,670,771,650,407,679
NM_015045,1042,1012,976,1012,714,579,566,615
NM_000314,3108,2553,3098,2749,2191,1575,1600,1931
NM_001304717,3108,2553,3098,2749,2191,1575,1600,1931
NM_004670,241,631,354,263,173,188,303,292
NR_024397,542,436,606,325,425,291,322,233
NM_001304718,3108,2553,3098,2749,2191,1575,1600,1931
NM_001015880,241,631,354,263,173,188,303,292
NM_019054,1045,905,1014,921,519,640,428,393
NM_001080518,2,0,2,2,6,3,0,4
NM_152871,310,207,441,365,306,124,330,279
NM_152872,310,207,441,365,306,124,330,279
NM_018363,303,301,332,167,214,259,182,210
NM_001031709,283,295,322,158,208,257,169,202
NM_000043,310,207,441,365,306,124,330,279
NM_001010939,0,5,3,0,6,11,2,0
NR_028036,310,207,441,365,306,124,330,279
NR_028035,310,207,441,365,306,124,330,279
NR_028034,310,207,441,365,306,124,330,279
NR_028033,310,207,441,365,306,124,330,279
NM_213606,58,28,17,19,47,23,10,49
NR_110657,6,9,2,1,2,7,1,11
NM_000872,15,13,30,40,32,16,26,37
NR_131214,7,10,4,3,12,7,0,4
NM_019860,15,13,30,40,32,16,26,37
NM_019859,15,13,30,40,32,16,26,37
NM_001178137,767,1092,1090,1060,734,948,647,778
NM_003972,1170,1098,1443,838,706,879,506,647
NM_182765,530,256,395,418,439,156,281,366
NR_104291,530,256,395,418,439,156,281,366
NR_024467,609,338,522,468,511,191,340,468
NM_001284274,530,256,395,418,439,156,281,366
NM_004969,1084,1312,1061,946,664,991,556,619
NM_001013848,470,433,421,371,314,306,227,269
NM_019053,453,412,411,349,290,298,222,241
NM_001288989,206,243,327,397,527,234,293,747
NM_001165979,194,228,311,379,503,222,279,704
NM_181745,2,12,16,6,6,23,2,13
NM_001195755,2,12,16,6,6,23,2,13
NM_016341,206,243,327,397,527,234,293,747
NM_020992,734,907,1633,1271,1525,1153,1352,1717
NM_015188,341,378,375,300,246,232,219,255
NM_000769,15,2,7,4,5,10,10,9
NM_013314,587,611,817,569,397,249,371,390
NM_001017520,0,0,0,4,2,0,2,1
NM_001114094,587,611,817,569,397,249,371,390
NM_001258440,587,611,816,569,396,249,371,390
NM_001258442,587,611,816,569,396,249,371,390
NM_001258441,587,611,816,569,396,249,371,390
NM_001143973,1078,1631,1474,1289,831,1043,790,871
NM_001164178,592,722,752,1163,1024,414,754,912
NM_015631,1078,1631,1474,1289,831,1043,790,871
NR_047683,587,611,816,569,396,249,371,390
NR_047682,587,611,816,569,396,249,371,390
NR_047681,587,611,816,569,396,249,371,390
NR_047680,587,611,816,569,396,249,371,390
NM_004088,0,0,0,4,2,0,2,1
NM_001098175,593,724,763,1172,1024,416,759,922
NM_001164181,592,722,752,1163,1024,414,754,912
NM_001164179,591,721,752,1163,1024,414,751,912
NM_001164183,591,721,752,1163,1024,414,751,912
NM_001164182,591,721,752,1163,1024,414,751,912
NR_038444,1108,1186,1260,1583,1476,677,1128,1278
NM_001776,591,721,752,1163,1024,414,751,912
NM_001145114,589,1399,1296,737,718,993,663,840
NR_037909,327,506,440,574,304,290,272,369
NM_001170766,416,373,350,427,248,236,196,224
NM_001170765,416,373,350,427,248,236,196,224
NM_001204300,308,375,412,534,281,277,256,333
NM_003061,221,1878,305,486,114,89,97,138
NM_032900,308,375,412,534,281,277,256,333
NM_152309,346,406,408,470,161,304,292,145
NM_001284337,589,1399,1296,737,718,993,663,840
NM_015179,589,1399,1296,737,718,993,663,840
NM_032440,413,371,341,421,246,233,192,221
NM_001256423,307,356,389,504,266,265,238,318
NM_000195,1248,1368,2037,2252,2413,2221,1927,2684
NM_182639,498,589,888,980,1012,1136,884,1159
NM_018425,423,633,777,751,723,636,566,791
NM_001256621,330,323,430,397,297,235,304,359
NM_001256619,330,323,430,397,297,235,304,359
NM_001256620,330,323,430,397,297,235,304,359
NM_001206528,20,19,68,36,118,52,89,137
NM_014472,330,323,430,397,297,235,304,359
NM_138469,330,323,430,397,297,235,304,359
NM_018058,47,46,148,90,194,75,166,341
NM_020348,224,408,401,418,302,183,233,325
NM_015221,1291,1863,1796,1289,1331,843,693,1020
NM_015960,328,278,396,336,220,190,212,237
NM_018121,860,1071,1037,1070,702,651,756,791
NM_001256856,1517,2221,2023,1751,1097,1249,1015,1286
NM_003939,1517,2221,2023,1751,1097,1249,1015,1286
NM_001136123,246,480,466,394,256,331,300,281
NM_001174085,744,1370,1483,1246,1317,1164,880,1266
NM_003989,21,34,22,0,77,4,9,11
NM_003990,21,34,22,0,77,4,9,11
NM_000278,21,34,22,0,77,4,9,11
NM_033637,1517,2221,2023,1751,1097,1249,1015,1286
NR_120620,2,3,3,5,6,3,3,5
NM_001174084,744,1370,1483,1246,1317,1164,880,1266
NM_001308382,744,1370,1483,1246,1317,1164,880,1266
NM_003988,21,34,22,0,77,4,9,11
NM_001304569,21,34,26,0,93,5,9,15
NM_003987,21,34,22,0,77,4,9,11
NM_013274,744,1370,1483,1246,1317,1164,880,1266
NR_033406,744,1370,1483,1246,1317,1164,880,1266
NM_014591,124,236,326,277,298,179,278,271
NM_005029,3,4,0,2,0,0,3,0
NM_016169,1046,1556,1685,1461,1668,1881,1318,1706
NM_173195,124,236,326,277,298,179,278,271
NM_173193,124,236,326,277,298,179,278,271
NM_173192,124,236,326,277,298,179,278,271
NM_173197,74,174,214,224,213,143,230,205
NM_005736,1192,2275,2247,2255,2413,2335,1944,2508
NM_004193,2511,5225,4324,3963,4265,5659,3553,4912
NM_001199379,2511,5225,4324,3963,4265,5659,3553,4912
NM_001199378,2511,5225,4324,3963,4265,5659,3553,4912
NM_173191,124,236,326,277,298,179,278,271
NM_024541,729,1028,1179,1078,963,807,692,967
NM_017649,207,512,352,492,354,366,290,403
NM_012229,2302,2874,3140,2417,1683,2018,1603,1916
NM_001134373,2302,2874,3140,2417,1683,2018,1603,1916
NM_014976,1207,1745,2153,1403,1413,1088,1049,1164
NM_004210,138,220,178,205,518,116,144,273
NM_199076,207,512,352,492,354,366,290,403
NR_037644,911,748,988,1101,609,709,654,766
NM_020682,404,254,422,551,288,289,290,400
NM_032727,8,27,13,8,7,12,8,14
NM_033397,286,583,916,589,632,543,782,821
NM_025145,147,217,178,130,116,103,66,94
NM_001272013,289,597,931,603,653,557,800,851
NM_000494,399,277,418,456,1703,601,452,2176
NR_120625,150,155,161,170,129,108,107,101
NR_038943,16,61,42,76,51,81,51,38
NM_145341,3754,2609,3114,3528,1323,1661,1576,1311
NM_001199492,3754,2609,3114,3528,1323,1661,1576,1311
NM_130439,1190,760,947,1063,1129,622,964,1231
NM_014456,3754,2609,3114,3528,1323,1661,1576,1311
NM_001134363,101,67,58,71,32,38,37,76
NM_005962,1165,733,893,1034,1118,615,948,1215
NM_001008541,1183,753,934,1057,1125,621,956,1222
NM_001146286,1103,1684,1579,1462,1467,950,1046,1234
NM_001146285,1103,1684,1579,1462,1467,950,1046,1234
NM_001146284,1103,1684,1579,1462,1467,950,1046,1234
NM_001146274,1103,1684,1579,1462,1467,950,1046,1234
NM_001198525,1103,1684,1579,1462,1467,950,1046,1234
NM_001198528,1103,1684,1579,1462,1467,950,1046,1234
NM_001198527,1103,1684,1579,1462,1467,950,1046,1234
NM_001198526,1103,1684,1579,1462,1467,950,1046,1234
NM_145206,900,813,914,762,605,458,472,424
NM_001198531,1103,1684,1579,1462,1467,950,1046,1234
NM_001198530,1103,1684,1579,1462,1467,950,1046,1234
NM_001146283,1103,1684,1579,1462,1467,950,1046,1234
NM_001198529,1103,1684,1579,1462,1467,950,1046,1234
NM_030756,1103,1684,1579,1462,1467,950,1046,1234
NR_028134,55,162,42,11,12,8,9,7
NM_001193434,571,1144,912,275,463,124,422,342
NM_006175,3,16,11,5,21,11,7,22
NM_182601,186,292,262,87,138,32,125,78
NM_198060,3,16,11,5,21,11,7,22
NM_018017,536,434,545,321,232,307,172,184
NM_024889,571,1144,912,275,463,124,422,342
NM_001193435,571,1144,912,275,463,124,422,342
NM_001261463,3,16,11,5,21,11,7,22
NM_198514,299,327,305,232,132,216,119,138
NM_001003408,1600,1316,2708,1813,1990,586,1335,1733
NM_002313,1598,1316,2704,1802,1990,582,1334,1729
NM_139169,306,318,261,297,154,145,138,167
NM_001003407,1600,1316,2708,1813,1990,586,1335,1733
NM_005264,184,286,327,635,508,178,547,521
NM_001145453,184,286,327,635,508,178,547,519
NM_145793,184,286,327,635,508,175,545,517
NM_001127211,1467,2050,1810,1552,1012,1174,818,885
NM_001258298,1467,2050,1810,1552,1012,1174,818,885
NM_173791,509,580,647,504,330,411,303,277
NM_001258300,345,557,454,438,271,299,201,220
NM_001258299,315,530,402,416,240,269,171,192
NM_018330,1467,2050,1810,1552,1012,1174,818,885
NR_108045,0,2,0,0,0,0,0,0
NR_026941,21,39,29,35,43,21,6,15
NR_026940,44,86,100,71,78,47,42,55
NR_026939,44,86,100,71,78,47,42,55
NM_005308,263,770,514,731,643,393,539,540
NR_110305,880,739,1147,800,592,258,396,524
NM_213649,880,739,1147,800,592,258,396,524
NM_153810,1102,1377,1354,842,760,781,705,654
NR_037771,1196,1684,1384,1488,757,979,702,785
NM_004281,791,1518,1786,1256,1700,1358,1484,2221
NM_014937,410,467,463,539,452,399,366,523
NM_007190,1196,1684,1384,1488,757,979,702,785
NR_073009,649,672,1311,1351,2350,1154,1515,2116
NM_001144917,649,672,1311,1351,2350,1154,1515,2116
NM_001144916,631,629,1251,1320,2191,1080,1382,1990
NM_001144915,635,630,1255,1325,2195,1081,1382,1994
NM_001144914,631,628,1251,1319,2189,1080,1382,1988
NM_001144913,348,436,850,846,1494,824,944,1308
NM_000141,649,672,1311,1351,2350,1154,1515,2116
NM_022970,649,672,1311,1351,2350,1154,1515,2116
NM_023029,631,628,1251,1319,2189,1080,1382,1988
NM_001144919,366,480,910,878,1655,898,1077,1436
NM_001144918,649,672,1311,1351,2350,1154,1515,2116
NR_033850,99,181,147,123,108,99,91,108
NM_021622,391,461,471,425,420,313,300,392
NM_144587,12,46,15,51,16,38,4,45
NM_001288736,906,1069,1069,1035,728,761,583,832
NM_001288735,889,1029,1054,1019,668,699,567,775
NM_001288734,889,1029,1054,1019,668,699,567,775
NM_001291876,3081,5710,5626,4077,5209,6547,4247,5077
NM_007041,889,1029,1054,1019,668,699,567,775
NR_110006,906,1069,1069,1035,728,761,583,832
NM_001195608,397,463,471,435,422,313,306,392
NM_001291879,2655,4705,4519,3375,3625,4431,3152,3361
NM_206862,3081,5710,5626,4077,5209,6547,4247,5077
NM_206861,3081,5710,5626,4077,5209,6547,4247,5077
NM_001001976,889,1029,1054,1019,668,699,567,775
NM_001001974,400,477,485,447,435,326,322,406
NM_001291877,3081,5710,5626,4077,5209,6547,4247,5077
NM_024942,226,199,205,199,128,91,84,93
NM_198148,499,540,477,811,1021,362,917,755
NM_014661,841,1707,1618,1479,2005,1368,1429,2152
NM_001167880,277,615,629,651,589,805,652,892
NM_022126,277,615,629,651,589,805,652,892
NM_001329,2568,4091,3709,2697,3286,4521,2185,3936
NM_001083914,2573,4102,3729,2718,3291,4526,2198,3949
NM_001290214,2568,4091,3709,2697,3286,4521,2185,3936
NM_001290215,2563,4072,3692,2682,3256,4491,2163,3908
NR_033848,140,171,256,207,129,107,113,125
NM_145235,160,206,218,134,125,179,146,150
NM_003474,47,63,152,106,51,46,95,80
NM_021641,23,34,87,51,25,26,53,51
NM_001288975,23,34,87,51,25,26,53,51
NM_001288974,23,34,87,51,25,26,53,51
NM_001288973,47,63,152,106,51,46,95,80
NM_001004298,9,5,8,5,29,11,5,77
NM_001039762,92,146,99,193,101,46,79,131
NM_001380,3745,5664,5390,6086,6212,4808,3788,5126
NM_001290223,3745,5664,5390,6086,6212,4808,3788,5126
NM_130435,237,401,559,484,283,237,508,408
NM_002412,240,652,580,787,466,786,395,652
NM_001005463,118,180,88,300,233,138,137,284
NM_001199868,571,583,699,633,430,467,342,473
NM_006541,543,521,604,566,393,381,301,414
NM_174937,61,14,146,129,98,23,98,174
NM_005539,1283,2697,2177,2696,3449,3022,1719,3381
NM_001200049,35,164,98,64,97,248,80,149
NM_173575,194,354,285,198,246,156,183,303
NM_130784,16,21,26,20,35,194,32,28
NM_001256618,1901,3796,3873,3489,3845,3995,2907,3914
NM_001256617,1901,3796,3873,3489,3845,3995,2907,3914
NM_006659,1901,3796,3873,3489,3845,3995,2907,3914
NR_046330,2264,4506,4683,4061,4365,4393,3320,4318
NM_001143764,11,17,20,14,21,188,25,17
NM_001143763,11,17,20,14,22,188,25,17
NM_177987,7,26,12,27,15,31,10,46
NM_001202464,2079,2117,2105,2525,2114,1761,1501,2212
NM_001202465,2087,2128,2106,2526,2134,1769,1509,2219
NM_001202466,2087,2128,2106,2526,2134,1769,1509,2219
NM_001202467,893,1270,1160,1275,1142,967,864,1199
NM_212479,996,1364,1242,1381,1224,1013,909,1270
NM_001202468,893,1270,1160,1275,1142,967,864,1199
NM_006624,2087,2129,2106,2527,2134,1769,1509,2219
NR_027708,830,853,826,717,759,1316,755,794
NM_012341,795,924,1066,1008,587,635,540,635
NR_120629,18,24,39,34,12,10,19,26
NR_027709,830,853,826,717,759,1316,755,794
NR_024629,830,853,826,717,759,1316,755,794
NR_024628,830,853,826,717,759,1316,755,794
