Gene_ID,C11,C15,C19,C23,N11,N15,N19,N23
NM_001199661,1807,2438,2851,2871,2604,2477,1785,2408
NM_001018017,498,420,1188,435,967,343,1154,585
NM_001159484,681,544,807,876,1125,926,867,890
NM_001018016,498,420,1188,435,967,343,1154,585
NM_207308,681,544,807,876,1125,926,867,890
NM_001204287,498,420,1188,435,967,343,1154,585
NM_001204286,498,420,1188,435,967,343,1154,585
NM_001204285,498,420,1188,435,967,343,1154,585
NM_001204291,498,420,1188,435,967,343,1154,585
NM_001204290,498,420,1188,435,967,343,1154,585
NM_001204289,498,420,1188,435,967,343,1154,585
NM_001204288,498,420,1188,435,967,343,1154,585
NM_001199662,1807,2438,2851,2871,2604,2477,1785,2408
NM_001204296,498,420,1188,435,967,343,1154,585
NM_001204295,498,420,1188,435,967,343,1154,585
NM_001204294,498,420,1188,435,967,343,1154,585
NM_002456,498,420,1188,435,967,343,1154,585
NM_001204297,498,420,1188,435,967,343,1154,585
NM_001199664,1807,2438,2851,2871,2604,2477,1785,2408
NM_001199663,1807,2438,2851,2871,2604,2477,1785,2408
NM_001199654,1708,2220,2606,2652,2261,2244,1608,2020
NM_001199653,1708,2220,2606,2652,2261,2244,1608,2020
NM_001204292,498,420,1188,435,967,343,1154,585
NM_001044393,498,420,1188,435,967,343,1154,585
NM_001044392,498,420,1188,435,967,343,1154,585
NM_007221,1708,2220,2606,2652,2261,2244,1608,2020
NM_001204293,498,420,1188,435,967,343,1154,585
NM_001184763,877,550,819,772,346,468,287,224
NM_175866,877,550,819,772,346,468,287,222
NM_001204963,2520,2666,2983,3971,4607,2317,2788,4331
NM_000696,1893,1877,2248,2384,1356,2245,1402,1615
NM_001204961,2520,2666,2983,3971,4607,2317,2788,4331
NM_002585,2520,2666,2983,3971,4607,2317,2788,4331
NM_144624,877,550,819,772,346,468,287,222
NM_001278252,49,45,69,95,53,29,54,51
NM_001136127,281,173,280,449,269,151,274,271
NM_181093,501,507,717,626,426,280,352,399
NM_022093,9,32,69,130,60,31,35,46
NM_015569,281,173,280,449,269,151,274,271
NM_020423,501,507,717,626,426,280,352,399
NM_201569,1379,2287,2312,2080,1626,1584,1249,1467
NM_201568,1379,2287,2312,2080,1626,1584,1249,1467
NM_173156,1379,2287,2312,2080,1626,1584,1249,1467
NM_003101,1972,2468,2551,2393,1177,2381,1039,979
NR_045530,1972,2468,2551,2393,1177,2381,1039,979
NM_170692,1247,1663,2157,1499,1546,895,1069,1341
NM_001174061,1379,2287,2312,2080,1626,1584,1249,1467
NM_001252512,1972,2468,2551,2393,1177,2381,1039,979
NM_001252511,1972,2468,2551,2393,1177,2381,1039,979
NM_032360,433,486,559,506,571,485,434,452
NM_021165,4,4,8,2,20,12,2,7
NM_001137669,8,14,19,14,8,16,5,16
NR_110793,7,0,2,1,6,1,0,3
NM_133494,680,516,549,757,600,428,501,560
NM_001206846,20,8,34,35,13,3,4,7
NM_018136,20,8,34,35,13,3,4,7
NM_000573,89,71,49,82,22,21,104,33
NM_000651,89,71,49,82,22,21,104,33
NM_001167858,68,116,82,89,74,90,70,55
NM_001167857,68,116,82,89,74,90,70,55
NM_182665,243,342,676,538,549,293,697,507
NM_182664,403,784,969,755,824,461,845,711
NM_182663,403,784,969,755,824,461,845,711
NM_002481,10518,10081,10651,10965,15741,6638,10965,13485
NM_212503,112,499,357,370,425,311,323,478
NM_212502,112,499,357,370,425,311,323,478
NM_002596,112,499,357,370,425,311,323,478
NM_002646,746,1159,1274,1357,1173,790,1037,942
NM_014053,462,584,557,546,358,455,305,276
NM_172362,564,685,704,591,449,396,394,459
NM_001134285,694,1210,671,445,404,531,255,166
NM_014873,844,753,747,849,520,542,443,435
NM_001243511,694,1210,671,445,404,531,255,166
NM_001243510,694,1210,671,445,404,531,255,166
NM_001243509,665,1174,626,419,354,499,238,150
NM_001243507,665,1174,626,419,354,499,238,150
NM_001243506,690,1205,666,443,400,529,254,162
NM_001243505,690,1205,666,443,400,529,254,162
NM_002238,564,685,704,591,449,396,394,459
NM_206933,34,38,54,26,46,54,34,56
NR_037850,16,13,12,5,4,12,8,6
NM_206595,690,1205,666,443,400,529,254,162
NM_206594,690,1205,666,443,400,529,254,162
NM_025160,2030,2083,2144,2301,1499,1613,1354,1531
NM_017982,253,308,296,466,358,469,306,410
NM_001037175,85,110,97,149,111,171,90,135
NM_012414,2994,3129,3529,4036,2317,1808,2196,2280
NM_001115113,2030,2083,2144,2301,1499,1613,1354,1531
NR_038845,29,19,25,23,23,9,21,31
NM_001164537,480,707,794,522,226,351,291,199
NR_028398,829,877,869,916,531,669,525,519
NR_028397,829,877,869,916,531,669,525,519
NR_028396,829,877,869,916,531,669,525,519
NR_028395,829,877,869,916,531,669,525,519
NR_028394,829,877,869,916,531,669,525,519
NR_028393,1165,1390,1420,1303,667,884,726,634
NR_028400,796,827,813,883,514,645,503,496
NM_001164556,144,194,243,135,90,136,90,84
NM_018662,480,707,794,522,226,351,291,199
NM_001164555,111,144,187,102,73,112,68,61
NM_001164551,111,144,187,102,73,112,68,61
NM_001164549,123,163,208,114,84,123,81,70
NM_001164548,144,194,243,135,90,136,90,84
NM_001164547,270,462,481,329,161,251,167,137
NM_001164546,258,445,461,306,156,234,163,129
NM_007357,612,677,823,709,470,501,381,460
NM_001164545,144,194,243,135,90,136,90,84
NM_014777,190,371,404,227,192,190,172,189
NM_001164542,258,445,461,306,156,234,163,129
NM_001164541,270,462,481,329,161,251,167,137
NM_001164540,480,707,794,522,226,351,291,199
NM_001164539,230,379,367,220,129,187,118,102
NM_001164538,270,462,481,329,161,251,167,137
NM_001164544,144,194,243,135,90,136,90,84
NM_001145036,612,677,823,709,470,501,381,460
NM_001012959,232,384,373,226,131,191,125,102
NM_001012957,480,707,794,522,226,351,291,199
NM_152666,97,201,242,174,221,201,134,227
NM_001195811,92,196,231,156,203,186,131,199
NM_001282773,115,138,189,125,137,97,109,124
NM_002924,115,138,189,125,137,97,109,124
NM_001305424,1008,1643,1514,1535,1284,1458,1153,1482
NM_001282778,115,138,189,125,137,97,109,124
NM_001195812,92,196,231,156,203,186,131,199
NM_001282775,115,138,189,125,137,97,109,124
NM_020066,1008,1643,1514,1535,1284,1458,1153,1482
NM_022743,654,762,811,774,531,371,317,429
NM_001167740,728,857,907,860,611,452,360,498
NM_018012,112,180,272,191,172,157,214,138
NR_026874,78,286,254,323,1757,582,397,2159
NR_122045,78,286,254,323,1757,582,397,2159
NM_001304360,12,259,29,52,23,124,12,62
NM_001282539,6030,9322,8502,10687,9045,10819,7330,8481
NM_199121,1720,7745,6282,4102,10641,7676,8506,15971
NM_022834,1720,7745,6282,4102,10641,7676,8506,15971
NM_001130045,47,112,126,56,114,127,76,162
NM_001282538,6030,9322,8502,10687,9045,10819,7330,8481
NM_024011,760,1385,890,1393,1550,1249,829,1489
NM_014188,1704,2937,3047,2418,2720,3079,1960,2396
NM_153339,119,283,333,246,417,391,283,439
NM_033529,760,1385,890,1393,1550,1249,829,1489
NM_002074,6030,9322,8502,10687,9045,10819,7330,8481
NM_033467,347,884,575,794,542,410,324,674
NM_024848,896,1464,1726,1322,1999,1729,1117,1998
NM_014638,512,3241,1417,1199,3102,4546,1767,3097
NM_001242672,15,110,105,34,125,288,25,87
NM_001301060,493,885,971,626,912,873,528,850
NM_001303013,512,3241,1417,1199,3102,4546,1767,3097
NM_001303012,512,3258,1417,1205,3110,4558,1767,3101
